gid,cSPAway,cPitch 1 Name,cPitch 1 Velocity,cPitch 1 IVB,cPitch 1 HB,cPitch 1 Stuff +,cPitch 1 RPM,cPitch 2 Name,cPitch 2 Velocity,cPitch 2 IVB,cPitch 2 HB,cPitch 2 Stuff+,cPitch 2 RPM,cPitch 3 Name,cPitch 3 Velocity,cPitch 3 IVB,cPitch 3 HB,cPitch 3 Stuff+,cPitch 3 RPM,cPitch 4 Name,cPitch 4 Velocity,cPitch 4 IVB,cPitch 4 HB,cPitch 4 Stuff+,cPitch 4 RPM,cPitch 5 Name,cPitch 5 Velocity,cPitch 5 IVB,cPitch 5 HB,cPitch 5 Stuff+,cPitch 5 RPM,cPitch 6 Name,cPitch 6 Velocity,cPitch 6 IVB,cPitch 6 HB,cPitch 6 Stuff+,cPitch 6 RPM
COL202404200,Luis_Castillo,4SFB,94.1,11.1,8.4,95,,SL,85.0,-1.0,-2.3,105,,CH,87.3,-2.2,12.5,99,,SNK,93.6,2.8,13.3,97,,,,,,,,,,,,,
CHN202404030,Cal_Quantrill,4SFB,92.2,15.2,12.2,91,2121,CUT,85.8,5.9,-2.6,97,2285,CH,84.2,8.7,12.9,96,1482,CB,79.3,-5.5,-4.4,102,2093,SPL,84.9,9.1,9.6,93,1118,,,,,,
MIN202404190,Jack_Flaherty,4SFB,93.0,15.8,3.3,99,,SL,84.0,1.8,-7.4,100,,CB,77.5,-11.5,-15.7,102,,CH,86.9,5.3,14.8,96,,,,,,,,,,,,,
PIT202404050,Grayson_Rodriguez,4SFB,95.5,16.1,11.5,102,2209,CH,83.9,3.6,14.0,102,1816,CB,80.1,-12.5,-8.7,101,2699,SL,88.2,3.9,-5.6,102,2410,,,,,,,,,,,,
CHN202404240,Spencer_Arrighetti,4SFB,93.3,16.9,10.1,104,2254,CB,77.3,-10.7,-15.4,107,2692,CUT,87.4,7.4,-5.5,97,2480,SW,79.9,1.8,-16.3,97,2641,CH,87.6,5.3,15.4,98,1643,,,,,,
CHN202404020,Kyle_Freeland,CUT,85.6,3.7,0.0,99,2249,CH,86.4,4.4,16.3,84,1494,SNK,90.8,4.4,15.0,82,2188,CB,82.7,-6.0,-2.4,96,2348,4SFB,90.5,15.0,9.8,94,2298,,,,,,
CHN202404202,Roddery_Munoz,CUT,88.8,7.2,0.6,99,2353,4SFB,95.3,15.9,10.2,103,2254,SNK,94.4,7.5,17.4,95,2220,SL,84.6,0.1,-6.5,106,2242,CH,89.1,12.8,13.4,91,1786,,,,,,
MIN202404200,Reese_Olson,SL,84.6,-2.3,-6.1,106,2868,4SFB,93.9,16.2,9.3,93,2235,CH,86.1,-0.4,15.5,106,2091,SNK,93.7,10.1,17.1,99,2179,CB,79.1,-14.0,-8.8,99,2718,,,,,,
PIT202404250,Freddy_Peralta,SL,82.4,6.2,-6.4,104,2350,4SFB,94.2,16.8,5.6,101,2463,CH,88.5,4.8,15.2,89,1833,CB,78.6,-5.1,-4.9,99,2206,,,,,,,,,,,,
CHN202404010,Dakota_Hudson,SNK,91.2,6.1,16.9,96,2065,SL,85.1,3.2,1.1,95,2467,4SFB,90.6,9.9,7.1,84,2029,CH,82.6,4.4,15.0,93,1752,,,,,,,,,,,,
NYN202404041,Casey_Mize,4SFB,94.8,18.5,8.7,104,2168,SL,84.9,-1.5,-2.6,104,2209,SPL,85.4,2.2,16.1,104,1165,CB,79.9,-12.1,-7.1,98,1680,,,,,,,,,,,,
CHN202404050,Bobby_Miller,4SFB,98.0,18.4,8.0,103,2353,CH,85.0,10.3,18.4,103,2237,CB,78.8,-14.4,-9.5,94,2628,SL,88.7,2.9,-8.9,108,2343,SNK,97.3,15.9,14.8,100,2286,,,,,,
DET202404050,JP_Sears,SW,78.6,4.1,-15.2,104,2457,4SFB,92.9,15.8,9.8,104,2106,CH,84.8,1.9,17.4,95,1732,SNK,91.1,5.3,15.4,94,1764,SL,81.9,7.9,-3.6,116,2240,,,,,,
CLE 202404240.00,Cooper_Criswell,CUT,85.1,8.6,-2.2,101,2277,SW,76.0,4.6,-19.8,100,2424,CH,84.6,-5.2,14.7,95,1519,SNK,89.1,3.1,17.7,101,2078,,,,,,,,,,,,
CHA202404020,Reynaldo_Lopez,4SFB,94.9,16.8,5.8,97,1978,SL,83.2,-4.4,-6.9,103,2401,CB,74.4,-11.2,-10.8,100,2434,CH,87.4,10.7,14.9,89,1771,,,,,,,,,,,,
CLE 202404210.00,Ross_Stripling,CH,83.2,11.0,9.6,102,1602,4SFB,91.3,18.1,5.8,93,2086,SNK,90.8,11.8,14.9,96,1994,SL,84.8,3.4,-1.5,105,2313,CUT,86.9,9.0,-0.9,95,2174,CB,74.3,-11.4,-7.0,101,2375